model_id,training_hours,accuracy,loss,dataset_size_gb,learning_rate,hardware_type,gpu_temp_c,deployment_status
MOD-001,17.814093312773515,0.7861362204369237,0.2035997658533274,50.0,0.1,CPU Only,70.64679059405344,Review
MOD-002,12.235971991511272,0.9131920064030299,0.011323355634292376,50.0,0.001,Unknown,74.22678907715736,Review
MOD-003,11.511402834266312,0.8186859586650611,0.18737138642743373,10.0,0.01,NVIDIA V100,,Approved
MOD-004,11.511524377238725,0.7324736351491034,0.30868780876823776,,0.0001,NVIDIA V100,65.22912224090422,Rejected
MOD-005,30.830699685931968,0.7780670698398369,0.21790533556920197,10.0,0.001,NVIDIA A100,67.32073877265785,Rejected
MOD-006,20.63226127500733,0.7427577117293986,0.23195947027372932,10.0,0.01,nan,68.1699314278265,Approved
MOD-007,9.855700378265393,0.9431547716794325,0.028215895128251553,50.0,0.001,NVIDIA A100,74.875806380377,Rejected
MOD-008,18.272048493748258,0.9570492173158145,0.06970785445695155,100.0,0.1,NVIDIA V100,90.79260629360606,Rejected
MOD-009,15.408129683771659,0.9769099104127212,0.06105948655273662,10.0,0.01,NVIDIA V100,66.27165250979328,Approved
MOD-010,3.0182836223192986,0.6884355560818265,0.37962494968422944,100.0,0.01,NVIDIA V100,68.6669975550763,Rejected
MOD-011,6.655489539976548,0.9357120728298977,0.01453793250958444,50.0,0.01,NVIDIA A100,71.49501589511001,Rejected
MOD-012,16.067256844085136,0.99,0.03629887792088085,10.0,0.01,CPU Only,75.16639078967798,Approved
MOD-013,29.237551604671808,,,10.0,0.001,NVIDIA A100,74.10840649563828,Rejected
MOD-014,11.573530649591156,0.6779016305703465,0.3174866591979895,50.0,0.001,RTX 4090,82.27276635158493,Approved
MOD-015,9.364092814532677,0.99,0.0300912927017001,10.0,0.01,NVIDIA A100,52.58886343571834,Pending
MOD-016,14.259673622222063,0.8533351229705552,0.16704768971069212,1000.0,0.1,NVIDIA A100,52.90456103843462,Approved
MOD-017,9.005843822184573,0.8314080714799622,0.19503033380961649,500.0,0.0001,Unknown,68.0329746239188,Pending
MOD-018,11.090658066032939,0.8860876237266382,0.06103881666357131,,0.001,NVIDIA A100,80.77840150034967,Rejected
MOD-019,13.223432301113863,0.7660794461943611,0.196429983447316,10.0,0.0001,CPU Only,59.47481574715523,Approved
MOD-020,6.427556277848339,0.8502225896737263,0.2240708241021579,,0.01,NVIDIA V100,47.938941282449946,Rejected
MOD-021,21.240128342569783,0.9796343716083259,0.009337005017632106,50.0,0.001,NVIDIA A100,76.56943524975367,Rejected
MOD-022,5.6429365346202065,0.899791749641863,0.11550897025903178,50.0,0.001,nan,,Rejected
MOD-023,5.163165635936201,0.8546721177682134,0.1980611978339459,10.0,0.0001,NVIDIA A100,63.27833274560456,Rejected
MOD-024,15.00615434243635,0.8571686527942087,0.16600350082383222,10.0,0.0001,CPU Only,64.11568319423256,Rejected
MOD-025,20.317444114245685,0.7554884813360958,0.27183765021250617,100.0,0.01,NVIDIA A100,64.2420502429226,Approved
MOD-026,14.782065343370212,0.838000968688022,0.20672791527416584,50.0,0.1,CPU Only,72.88428253979153,Approved
MOD-027,12.411184533120704,0.7192563731496187,0.17491043880553134,10.0,0.01,NVIDIA A100,66.98947779053594,Pending
MOD-028,11.022841899333917,0.9317952761915048,0.04370721605046844,100.0,0.1,NVIDIA V100,75.95251135180416,Rejected
MOD-029,9.914796139393802,0.6751431614019725,0.3482871284230071,10.0,-0.01,CPU Only,49.162986696764875,Approved
MOD-030,23.961179395225635,0.9183920303696568,0.15099018498322608,50.0,0.01,Unknown,65.1451850789776,Pending
MOD-031,16.158378625626398,0.9283528720667249,0.07495190591606375,50.0,0.0001,Unknown,62.9915683127116,Approved
MOD-032,10.429821314377264,0.9555011692581755,0.002263007654019704,500.0,0.01,CPU Only,69.94927457302006,Pending
MOD-033,8.534818706729547,0.8569487330529442,0.10214696446653071,500.0,0.001,CPU Only,67.69561793207889,Approved
MOD-034,18.977182076800613,0.9233302772926023,0.1208627828800514,50.0,0.001,NVIDIA A100,78.38275023916613,Approved
MOD-035,23.647288071144867,0.8372202687707827,0.15189105210962295,50.0,0.001,NVIDIA V100,57.12530582671954,Review
MOD-036,,0.7550642305849653,0.24457576712551787,50.0,0.1,NVIDIA V100,,Approved
MOD-037,7.587934695235368,0.9724585914030396,0.058292918285576374,500.0,0.001,NVIDIA V100,76.46669138569365,Pending
MOD-038,10.964625996119173,0.842249133630794,0.01267468223452703,50.0,0.001,NVIDIA V100,86.85317949249564,Approved
MOD-039,9.791095209163855,1.405468787300828,-0.305450411725424,10.0,0.0001,NVIDIA V100,68.1458722312522,Rejected
MOD-040,11.874157174979608,0.8126548043368174,0.15079150391062957,10.0,-0.01,NVIDIA A100,74.59566883482013,Pending
MOD-041,21.128741427104735,0.8158140253945463,0.1962827930791323,50.0,0.01,RTX 4090,57.56909765950108,Approved
MOD-042,27.755530909679884,0.8869357534499369,0.02782939587524952,50.0,-0.01,NVIDIA A100,178.44063682169366,Pending
MOD-043,16.50941016410244,0.99,-0.011127055520251873,500.0,0.01,NVIDIA V100,78.7581950062536,Rejected
MOD-044,8.729138203303304,0.8917934890626051,0.1704409132556497,10.0,0.0001,NVIDIA V100,71.95551765081544,Rejected
MOD-045,13.042948909482153,0.866547508159722,0.03764413285698402,50.0,0.01,CPU Only,81.42810151838738,Rejected
MOD-046,30.623156619533212,0.99,,500.0,0.01,RTX 4090,61.01277688824201,Pending
MOD-047,14.056773119801457,0.928311483193018,0.05800371199536275,500.0,0.001,RTX 4090,76.15921711623002,Approved
MOD-048,,0.8703399363307942,0.1540182856802154,50.0,0.001,NVIDIA A100,86.95054272435083,Approved
MOD-049,11.618943997315371,0.8116470512945524,0.22122916937970313,50.0,0.01,NVIDIA V100,75.35764486685812,Pending
MOD-050,16.466858858147052,0.8752960060963648,0.14677506887818145,50.0,0.01,NVIDIA A100,74.21265204472839,Pending
MOD-051,7.761516202884038,0.8446887676725491,0.1120636997459096,1000.0,0.001,NVIDIA V100,72.0684486465948,Approved
MOD-052,9.641779192665565,0.8573147302047197,0.1244578124685291,10.0,0.1,NVIDIA V100,,Rejected
MOD-053,22.291149707410113,0.9551521939815578,-0.0282300028440986,1000.0,0.01,NVIDIA A100,82.84458348568279,Rejected
MOD-054,16.201732967529747,0.8067742253490009,0.2178155912304031,100.0,0.01,NVIDIA V100,67.11313888155948,Rejected
MOD-055,14.141778703242052,0.8910832566530811,0.1940195010477152,50.0,0.001,nan,76.03586605106413,Approved
MOD-056,22.90914117800035,0.9259151991870075,-0.017137243520830625,10.0,0.01,nan,,Rejected
MOD-057,8.383317821600077,0.7970309986540473,0.16488670603905098,50.0,0.0001,NVIDIA V100,62.56432268393776,Approved
MOD-058,10.832931243207955,0.7841902867608719,0.20672094944498146,50.0,0.0001,NVIDIA A100,83.48069919377788,Pending
MOD-059,15.9002352351979,0.8379726461935277,0.17069442499214998,10.0,0.001,NVIDIA A100,69.22158168833725,Pending
MOD-060,15.580441323549039,0.8130696327794831,0.23088918229223826,100.0,0.01,NVIDIA V100,83.62620380834036,Rejected
MOD-061,4.7941320244358065,0.9421866086993202,0.05020339228279642,,0.0001,Unknown,71.37415472753186,Approved
MOD-062,10.185242264278529,0.7698585377148276,0.21434352596288989,50.0,0.001,NVIDIA A100,57.26481781633714,Approved
MOD-063,12.059320363002243,0.8554777094822936,0.19967882582119342,100.0,0.0001,CPU Only,79.13654079785377,Rejected
MOD-064,16.911970411269625,0.99,0.04309977835316527,10.0,0.001,NVIDIA A100,67.28086145795514,Pending
MOD-065,15.54871449258762,0.8830445227028946,0.14390437608216036,50.0,0.0001,nan,77.58951050813634,Approved
MOD-066,12.734675178006237,0.8963432115443908,0.10928257403501493,10.0,0.001,NVIDIA V100,72.20168694032066,Rejected
MOD-067,3.0016615405566034,0.94285459965577,0.10630301089022293,100.0,0.001,CPU Only,59.655054176457035,Approved
MOD-068,13.118017975780214,0.8129640747659712,0.15422045567251547,1000.0,-0.01,NVIDIA V100,73.31435812296455,Approved
MOD-069,13.83118184643235,0.7634864297003676,0.19687885619032847,100.0,0.001,RTX 4090,89.5697851372224,Approved
MOD-070,45.253120278067264,0.8641209020930196,0.1731841472504466,10.0,0.001,NVIDIA A100,75.94389166811567,Approved
MOD-071,11.82357668316078,0.871232306267883,0.047515895269771624,50.0,0.01,NVIDIA A100,71.5398579759563,Approved
MOD-072,15.950117890598756,0.7205431364229471,0.2840658390588773,50.0,0.001,Unknown,80.60274721565519,Rejected
MOD-073,25.01044416909467,0.8800057531746222,0.10416632921225225,50.0,0.001,Unknown,73.6853477216249,Pending
MOD-074,20.46339211375042,0.9355880398960831,-0.0058757764287308695,500.0,0.01,CPU Only,73.67627384210236,Pending
MOD-075,28.379863620184608,0.7769641541580792,0.1764724668561076,500.0,0.01,RTX 4090,63.26699862272718,Approved
MOD-076,4.850166155558396,0.884844467869985,0.10970672751524749,100.0,0.001,CPU Only,73.87078420631678,Approved
MOD-077,6.770695389596893,0.9213810928296107,0.13031706999534046,50.0,0.0001,NVIDIA A100,80.28354733133555,Approved
MOD-078,9.223425523139943,0.8969342566824064,0.070417843754703,10.0,0.001,NVIDIA V100,65.3115027831998,Approved
MOD-079,4.256976078069804,0.9044804990993245,0.1561885708959252,10.0,0.01,NVIDIA V100,83.39596656997558,Rejected
MOD-080,13.901019031221002,,,50.0,0.001,RTX 4090,71.266351806839,Rejected
